id,note,url,bill_id
2648cc49-39ea-4fb4-923e-586b14d3c44f,,https://malegislature.gov/Bills/192/SD2691,ocd-bill/0b7b8495-d667-43e2-94d8-5a3a4250f8f3
04c6772c-0829-4059-9207-b3a43d4d8df8,,https://malegislature.gov/Bills/192/SD2690,ocd-bill/2b621dbc-cb97-4520-9fc4-af0027b2be66
7ff223a7-4d05-438e-93c0-15a285c869e9,,https://malegislature.gov/Bills/192/HD4342,ocd-bill/784767a0-d88b-4e72-870e-bdd4523e51ed
fa3ee37b-28d4-4e37-9401-c6918545b9aa,,https://malegislature.gov/Bills/192/H3936,ocd-bill/1e1d010e-a4ad-405c-b2ff-e2a7e21dcd2e
033afea4-24c3-4372-8478-3d694ad5e27f,,https://malegislature.gov/Bills/192/H3934,ocd-bill/87b42308-5cbf-4fba-910f-268be3c525cc
67871aca-8cde-41ec-afed-f3d472c11219,,https://malegislature.gov/Bills/192/H3933,ocd-bill/bda22a96-0c04-4bd2-9571-cc54b3d5627f
d617a528-bae7-49b5-ac92-bd207f9de20b,,https://malegislature.gov/Bills/192/H3935,ocd-bill/dc8fffdd-cebb-4790-a398-2304fa191d61
4e066dfd-bb83-4be1-88f9-bb34efb61c3c,,https://malegislature.gov/Bills/192/SD2689,ocd-bill/228d4b67-48f9-47d6-8eb9-a4f930bd5608
5b6c342e-849a-4f19-af83-beb6991aa984,,https://malegislature.gov/Bills/192/HD5061,ocd-bill/012daf3a-7c4f-48d0-b145-70eb3f327fd6
b3f37134-6ac7-4e44-af32-0793cbbd2360,,https://malegislature.gov/Bills/192/HD4344,ocd-bill/e5c875ae-dfb8-4f2a-9d3a-21990bb8d604
191ffbb0-cded-4607-91ec-90dc14571562,,https://malegislature.gov/Bills/192/SD2692,ocd-bill/5e67023e-8795-4b2c-b8bf-154479ace4a8
58a448d2-dc6f-47a2-9f92-99620ccfede2,,https://malegislature.gov/Bills/192/H3938,ocd-bill/76423261-57a1-473b-9c27-548f90a01ed4
1bd861b6-02d7-445b-84fc-bf708aa762c8,,https://malegislature.gov/Bills/192/S2489,ocd-bill/20c1cf11-a8d1-43d5-94af-aca46488efc6
0f3e6a52-32e1-4b8e-b087-6247e394a35f,,https://malegislature.gov/Bills/192/HD4321,ocd-bill/edd21b47-bd27-4429-bf2b-4006880e5888
e4e1a205-9e8f-408f-8e38-b0887d7ba7be,,https://malegislature.gov/Bills/192/H3937,ocd-bill/6772e846-4903-4a76-889e-8426e237c9c0
15462f2f-aff1-4326-8e07-dd60e1aa7804,,https://malegislature.gov/Bills/192/HD4345,ocd-bill/5fe0a7e5-b9e8-4a28-8e40-1adf98226ad4
f9bdbc7c-62dd-46bc-a242-d9be515e1545,,https://malegislature.gov/Bills/192/H4002,ocd-bill/dea9287b-4491-4c28-8c23-388b9a5acf0d
c847b6cb-c021-4b1d-aba5-0083af1611d6,,https://malegislature.gov/Bills/192/H3922,ocd-bill/c7486992-453d-40b0-b190-a46bfb103901
8cc7b2e7-9ce4-4190-be9c-583ee4e7917e,,https://malegislature.gov/Bills/192/HD4343,ocd-bill/01f792f5-00bf-4418-b78b-fd1fdcef1e21
31bc1961-b9b2-4fe5-bf4f-389a3184b59f,,https://malegislature.gov/Bills/192/SD3138,ocd-bill/a0399e51-7f69-46f4-8fc5-a343a4715897
a1fdf5b4-75ec-484c-8662-c70d8b10ec75,,https://malegislature.gov/Bills/192/S2492,ocd-bill/55baf10c-abc0-49cd-92c6-3c3b838227a0
8570d638-f93c-49a3-8496-b365f455f56f,,https://malegislature.gov/Bills/192/SD2693,ocd-bill/bba36951-a65f-4ab0-9925-a5485a7dceed
6beff4d6-87a9-4c03-90bc-721da85525b1,,https://malegislature.gov/Bills/192/HD4346,ocd-bill/b885b482-bf41-44bc-80ed-b353ceec0068
bac36054-cee9-45e3-a2e7-3d330763c077,,https://malegislature.gov/Bills/192/H3939,ocd-bill/b36c6787-c6ce-4abb-88b7-ada6eea2289d
500230b3-b67a-48ab-ab88-0d727a47e911,,https://malegislature.gov/Bills/192/H3940,ocd-bill/5b432b83-11e1-48cf-b44d-6ca740adbe00
d093bfcd-cd50-4307-980e-7bfbfb506578,,https://malegislature.gov/Bills/192/H3941,ocd-bill/dcf428c9-0f0c-428b-ae9e-442f1a479faf
6567c54c-d556-42da-b024-a52d3aab91c7,,https://malegislature.gov/Bills/192/H3927,ocd-bill/06106eae-4026-4a27-9cff-f024bb6bd03c
36d77593-73ac-4705-8e93-089d6f1671d7,,https://malegislature.gov/Bills/192/HD4349,ocd-bill/18c4e544-39cb-4e63-8a14-bde2b44d46e7
802b65ab-7947-4dc9-8bad-d5a2c62fe712,,https://malegislature.gov/Bills/192/SD2695,ocd-bill/b00fcb30-bd77-4a48-9861-0fb737b499b8
f97075bc-04db-41c2-94c7-08a8bec79e8b,,https://malegislature.gov/Bills/192/H3932,ocd-bill/9fff1fdd-0fad-4431-859c-afb5bdb67012
b9716dd3-dcf4-4c51-ba5c-362f1d9c5f56,,https://malegislature.gov/Bills/192/HD4348,ocd-bill/37bcd4bf-62b6-4282-a0f9-eda828027f7f
1cff3f77-654c-4a42-a95e-e57094d7b5df,,https://malegislature.gov/Bills/192/H3946,ocd-bill/3e240e9d-9db4-431e-b12c-b68bde218b33
8c1904a0-5a7a-4427-a11e-e82d520313ca,,https://malegislature.gov/Bills/192/HD4347,ocd-bill/e277d0b3-1f75-43f7-bb0a-04e8f4284042
a4561170-47db-4daf-9193-c81c6024ca0c,,https://malegislature.gov/Bills/192/SD2694,ocd-bill/1c466a4a-5423-4e2f-a81f-e3ff2dc99e68
5d6b4e40-2525-44e0-a1b4-c73af5608698,,https://malegislature.gov/Bills/192/H3948,ocd-bill/9e8e8442-01a1-48dc-8ee5-91eb04f016bf
e9c39d57-3bd1-4135-a0fd-d95e03137e99,,https://malegislature.gov/Bills/192/SD2696,ocd-bill/c2995dca-330c-403d-b72e-ad92ce958f51
a94b6284-d7de-494a-8a71-a08f138e69d7,,https://malegislature.gov/Bills/192/SD3251,ocd-bill/69613321-ce56-43e9-b22f-c4e29ee82862
